Title,Description,Source,Fetched Date,Combined Text,Sentiment,Score
Starliner will return to Earth uncrewed astronauts staying on ISS until February,Boeings Starliner mission is coming back to Earth empty After months of data analysis and internal deliberation NASA leadership announced today that Starliner will be coming back to Earth,TechCrunch,2024-08-26T07:21:22.004084,starliner return earth uncrewed astronaut staying iss february . boeings starliner mission coming back earth empty month data analysis internal deliberation nasa leadership announced today starliner coming back earth,-0.2023,Neutral
Do you know where your children are Maybe on X,A surprising number of iPad kids aka Generation Alphas 7 to 9yearold demographic are using X according to new data from parental control software maker Qustodio The firm,TechCrunch,2024-08-26T07:21:22.004084,know child maybe x. surprising number ipad kid aka generation alpha 7 9yearold demographic using x according new data parental control software maker qustodio firm,0.34,Positive
Google just made a 250M deal with California to support journalism heres what it means,This week Google joined a 250 million deal with the state of California to support California newsrooms While the deal offers a muchneeded cash infusion for an industry thats seen,TechCrunch,2024-08-26T07:21:22.004084,google made 250m deal california support journalism here mean . week google joined 250 million deal state california support california newsroom deal offer muchneeded cash infusion industry thats seen,0.6597,Positive
X shareholders as of June 2023 included funds tied to Bill Ackman Binance and Sean Diddy Combs,A court order recently forced Elon Musks X to reveal its full list of shareholders as of June 2023 to the public Many of the recognizable tech industry names had,TechCrunch,2024-08-26T07:21:22.004084,x shareholder june 2023 included fund tied bill ackman binance sean diddy comb . court order recently forced elon musk x reveal full list shareholder june 2023 public many recognizable tech industry name,-0.4588,Negative
VCs are so eager for AI startups theyre buying into each others SPVs at high prices,VCs are increasingly buying shares of latestage startups on the secondary market as they try to get pieces of the hottest ones especially AI companies But they are also increasingly doing so through financial instruments called special purpose vehicles SVPs Some of those SPVs are becoming such hot commodities,TechCrunch,2024-08-26T07:21:22.004084,vcs eager ai startup theyre buying others spvs high price . vcs increasingly buying share latestage startup secondary market try get piece hottest one especially ai company also increasingly financial instrument called special purpose vehicle svps spvs becoming hot commodity,0.7506,Positive
The top AI deals in Europe this year,Cumulatively there have been more than 1700 funding rounds for AI startups in Europe so far in 2024,TechCrunch,2024-08-26T07:21:22.004084,top ai deal europe year . cumulatively 1700 funding round ai startup europe far 2024,0.2023,Neutral
The founder building a wealthmanagement product her grandmother would have loved,After two years of building the company the company quietly launched its beta in June and is officially announcing it today right here in TechCrunch,TechCrunch,2024-08-26T07:21:22.004084,founder building wealthmanagement product grandmother would loved . two year building company company quietly launched beta june officially announcing today right techcrunch,0.6597,Positive
These 74 robotics companies are hiring,From the looks of things companies in the category including Agility Robotics and Formlogic cant hire quickly enough,TechCrunch,2024-08-26T07:21:22.004084,74 robotics company hiring . look thing company category including agility robotics formlogic cant hire quickly enough,0.0,Neutral
TechCrunch Minute Tech billionaires want to build a utopian city in California,A crew of tech billionaires have been trying to get the California Forever project off the ground which would create a new supposedly utopian city,TechCrunch,2024-08-26T07:21:22.004084,techcrunch minute tech billionaire want build utopian city california . crew tech billionaire trying get california forever project ground would create new supposedly utopian city,0.34,Positive
Bombers boot son of a legend,Two days after their season finished in disappointment Essendon have started shedding players including the son of a club legend,News AU,2024-08-26T07:21:23.474624,bomber boot son legend . two day season finished disappointment essendon started shedding player including son club legend,-0.5106,Negative
Earned the right Storm defend resting plan,Team list Tuesday will look very different for the Storm this week but one club veteran has confirmed he wont be rested and will travel to Townsville to face the Cowboys,News AU,2024-08-26T07:21:23.474624,earned right storm defend resting plan . team list tuesday look different storm week one club veteran confirmed wont rested travel townsville face cowboy,0.0,Neutral
Official dropped Bunker faces major review,NRL powerbrokers have promised major reviews of the NRLs football department following the Bunkers weekend from hell,News AU,2024-08-26T07:21:23.474624,official dropped bunker face major review . nrl powerbroker promised major review nrl football department following bunker weekend hell,-0.4767,Negative
Micky Hattons back Boxing villain reopens ugly Tszyu wound with infamous sledge,Michael Zerafa went there again Three years after delivering a jab that infuriated Tim Tszyu hes referenced the most painful memory in the proud Aussie boxing familys history,News AU,2024-08-26T07:21:23.474624,micky hattons back boxing villain reopens ugly tszyu wound infamous sledge . michael zerafa went three year delivering jab infuriated tim tszyu he referenced painful memory proud aussie boxing family history,-0.8934,Negative
Coleman winners extra special achievement,After being crowned Coleman medallist for the first time there was something much simpler Jesse Hogan was super proud of,News AU,2024-08-26T07:21:23.474624,coleman winner extra special achievement . crowned coleman medallist first time something much simpler jesse hogan super proud,0.926,Positive
Bunker official to pay price for blunder,The Bunker official who failed to send Stephen Crichton to the sin bin is set to be dropped this weekend as the NRL revealed an alarming trend ahead of the finals,News AU,2024-08-26T07:21:23.474624,bunker official pay price blunder . bunker official failed send stephen crichton sin bin set dropped weekend nrl revealed alarming trend ahead final,-0.8316,Negative
Stars snubbing leaves Aussie captain disappointed,One of Australias top female cricketers wont be going to the T20 Womens World Cup,News AU,2024-08-26T07:21:23.474624,star snubbing leaf aussie captain disappointed . one australia top female cricketer wont going t20 womens world cup,-0.4939,Negative
Fan holding four pints takes a screamer,Watch as an England cricket fan pulls off the catch of the day with four pints in hand leaving commentators stunned,News AU,2024-08-26T07:21:23.474624,fan holding four pint take screamer . watch england cricket fan pull catch day four pint hand leaving commentator stunned,0.7506,Positive
Federers iconic tennis coach dead at 59,The tennis world has paid tribute after the man who coached Swiss maestro Roger Federer to his first Wimbledon title died,News AU,2024-08-26T07:21:23.474624,federers iconic tennis coach dead 59. tennis world paid tribute man coached swiss maestro roger federer first wimbledon title died,-0.836,Negative
Aussies in 46year US Open first,Its been nearly half a century since there were as many Australians in the main draw of the US Open as there are now with two seeded men leading the charge,News AU,2024-08-26T07:21:23.474624,aussie 46year u open first . nearly half century since many australian main draw u open two seeded men leading charge,0.0,Neutral
Darts prodigy is here to win in Australia,Luke Littler has taken the darts world by storm this year and the teenager is in Australia this week determined to continue his red hot form,News AU,2024-08-26T07:21:23.474624,dart prodigy win australia . luke littler taken dart world storm year teenager australia week determined continue red hot form,0.7351,Positive
Absolutely hate it Aussies in Paris drama,A new rule at the Olympics athletics events is sure to divide athletes and fans and produce high drama in Paris writes Sally Pearson,News AU,2024-08-26T07:21:23.474624,absolutely hate aussie paris drama . new rule olympics athletics event sure divide athlete fan produce high drama paris writes sally pearson,-0.101,Neutral
Astonishing rise set to flip F1 in 215m race,Daniel Ricciardo has been given a reality check as the urgency mounts at Red Bull amid a threehorse race to replace a struggling driver,News AU,2024-08-26T07:21:23.474624,astonishing rise set flip f1 215m race . daniel ricciardo given reality check urgency mount red bull amid threehorse race replace struggling driver,-0.4215,Negative
Stars message pours fuel all over F1 feud,A Formula 1 star has poured fuel all over his ongoing feud with a rival as their championship battle looks set to go down to the wire,News AU,2024-08-26T07:21:23.474624,star message pours fuel f1 feud . formula 1 star poured fuel ongoing feud rival championship battle look set go wire,-0.5423,Negative
Damning admission as F1 blown wide open,Red Bulls run of dominance in F1 is crumbling around them as the team boss made a startling admission over one of their rivals,News AU,2024-08-26T07:21:23.474624,damning admission f1 blown wide open . red bull run dominance f1 crumbling around team bos made startling admission one rival,-0.0772,Neutral
Influencers go to war in heated feud,Two sporting social media influencers are engaged in an ugly online spat after one called out the other for stealing her content,News AU,2024-08-26T07:21:23.474624,influencers go war heated feud . two sporting social medium influencers engaged ugly online spat one called stealing content,-0.891,Negative
Should be cancelled Stars shock admission,Former UFC and WWE star Ronda Rousey has delivered a stunning admission after sharing a conspiracy theory video online,News AU,2024-08-26T07:21:23.474624,cancelled star shock admission . former ufc wwe star ronda rousey delivered stunning admission sharing conspiracy theory video online,-0.3818,Negative
Sleazy Hawk Tuah girls latest act slammed,A legendary US sports broadcaster has savaged the Hawk Tuah girl after the viral star continued to milk her 15 minutes of fame,News AU,2024-08-26T07:21:23.474624,sleazy hawk tuah girl latest act slammed . legendary u sport broadcaster savaged hawk tuah girl viral star continued milk 15 minute fame,-0.0258,Neutral
Patty Mills 5m NBA lifeline revealed,A standout Olympic performance from Patty Mills has seemingly landed the 36yearold Aussie another lifeline to stay in the NBA,News AU,2024-08-26T07:21:23.474624,patty mill 5m nba lifeline revealed . standout olympic performance patty mill seemingly landed 36yearold aussie another lifeline stay nba,0.0,Neutral
Socceroos taste defeat in Bundesliga,It wasnt the start to their German Bundesliga careers that a pair of Socceroos were hoping for,News AU,2024-08-26T07:21:23.474624,socceroos taste defeat bundesliga . wasnt start german bundesliga career pair socceroos hoping,-0.0516,Neutral
Brazilian coup on par with Del Piero feat,The ALeagues profile is set to grow following Sydney FCs signing of a Brazilian star rated on par with one of the competitions greats,News AU,2024-08-26T07:21:23.474624,brazilian coup par del piero feat . aleagues profile set grow following sydney fcs signing brazilian star rated par one competition great,0.6249,Positive
Playoffs heartbreak for Scott in 5m miss,Adam Scotts fouryear winning drought on the PGA Tour continued after an agonisingly close run in Colorado but he still achieved a major goal,News AU,2024-08-26T07:21:23.474624,playoff heartbreak scott 5m miss . adam scott fouryear winning drought pga tour continued agonisingly close run colorado still achieved major goal,-0.2263,Neutral
First SuperCoach NBL winner reveals secrets to success,Australias best fantasy basketball coach SuperCoach NBL champion David van der Giessen reveals how he did it and some tips for this year,News AU,2024-08-26T07:21:23.474624,first supercoach nbl winner reveals secret success . australia best fantasy basketball coach supercoach nbl champion david van der giessen reveals tip year,0.9485,Positive
Folaus bombshell claims on viral post,Israel Folau has opened up about the social media post that ended his Wallabies career slamming the media and calling his treatment unfair,News AU,2024-08-26T07:21:23.474624,folaus bombshell claim viral post . israel folau opened social medium post ended wallaby career slamming medium calling treatment unfair,-0.4767,Negative
Wallaby keen to build on bittersweet comeback,Having finally made his return from injury a Wallabies prop wants to take his game to the next level on Australias tour of Argentina,News AU,2024-08-26T07:21:23.474624,wallaby keen build bittersweet comeback . finally made return injury wallaby prop want take game next level australia tour argentina,-0.0772,Neutral
Racing NSWs Newmarket dream 1000horse training facility planned,Racing NSW has reiterated plans to develop a major Sydney training centre similar to Englands famous Newmarket complex as part of its draft strategic plan released today,News AU,2024-08-26T07:21:23.474624,racing nsw newmarket dream 1000horse training facility planned . racing nsw reiterated plan develop major sydney training centre similar england famous newmarket complex part draft strategic plan released today,0.25,Positive
ExAussie comes clean on shock defection,Threetime Olympic medallist Matthew Richardson has spoken out after he turned his back on Australia weeks after the Olympics finished,News AU,2024-08-26T07:21:23.474624,exaussie come clean shock defection . threetime olympic medallist matthew richardson spoken turned back australia week olympics finished,-0.3182,Negative
